"ID","Domain","Turn","Utterance","Frontend before/s","Backend before/s","Difference (backend − frontend)/s"
"nav_context_strategy_active_018","navigation","turn 1","导航去杭州东站","1.022","2.167","1.145"
"nav_context_strategy_active_018","navigation","turn 2","改成躲避拥堵","1.151","3.075","1.925"
"nav_context_route_status_019","navigation","turn 2","先帮我查一下去灵隐寺怎么走，只看路线，先别导航。","1.054","—","—"
"nav_context_voice_mute_020","navigation","turn 1","导航到杭州东站","1.175","2.497","1.323"
"nav_context_voice_mute_020","navigation","turn 2","导航声音先静音","1.265","2.807","1.542"
"nav_context_view_follow_021","navigation","turn 1","带我去机场","1.167","3.379","2.212"
"nav_context_view_follow_021","navigation","turn 2","看一下全程","1.198","—","—"
"nav_context_view_follow_021","navigation","turn 3","回到车头跟随视角","1.302","—","—"
"nav_context_favorite_after_set_022","navigation","turn 1","把阿里西溪园区设为公司","1.409","—","—"
"nav_context_favorite_after_set_022","navigation","turn 2","现在去公司","1.369","12.011","10.642"
"nav_context_search_then_start_023","navigation","turn 1","找一下附近的充电站","1.436","2.567","1.131"
"nav_context_search_then_start_023","navigation","turn 2","就去第一个搜索结果：充电站1号店","1.282","2.748","1.466"
"nav_context_preview_then_start_024","navigation","turn 1","先看看去灵隐寺怎么走","1.132","2.881","1.749"
"nav_context_preview_then_start_024","navigation","turn 2","可以，就开始导航吧","1.169","3.222","2.053"
"nav_chitchat_entity_distractor_025","navigation","turn 2","算了，先导航去公司吧。","1.061","6.630","5.569"
"nav_chitchat_emotion_then_start_026","navigation","turn 2","带我回家，少收费。","1.278","—","—"
"nav_chitchat_music_distractor_027","navigation","turn 2","先去杭州东站接人。","1.265","4.840","3.575"
"nav_chitchat_place_not_destination_028","navigation","turn 2","今天还是去西溪湿地吧。","1.348","3.594","2.246"
"nav_chitchat_weather_then_search_029","navigation","turn 2","附近有没有咖啡店？","1.521","—","—"
"nav_chitchat_joke_then_start_030","navigation","turn 2","还是老实导航去机场吧。","1.128","2.539","1.411"
"nav_chitchat_memory_then_favorite_031","navigation","turn 2","把阿里西溪园区设成公司。","1.399","—","—"
"nav_chitchat_repair_then_strategy_032","navigation","turn 2","后面路线都尽量避开高速。","1.964","—","—"
"nav_negative_unknown_favorite_035","navigation","turn 1","去公司","1.129","8.136","7.007"
"wea_single_current_001","weather","turn 1","今天天气怎么样？","0.881","3.209","2.328"
"wea_single_shanghai_rain_002","weather","turn 1","上海今天会下雨吗？","1.158","—","—"
"wea_single_beijing_temp_003","weather","turn 1","北京现在几度？","1.032","—","—"
"wea_single_hangzhou_wind_004","weather","turn 1","杭州今天风大吗？","0.990","—","—"
"wea_single_umbrella_005","weather","turn 1","今天出门要带伞吗？","—","—","—"
"wea_chitchat_then_shenzhen_006","weather","turn 2","查一下深圳天气。","1.090","—","—"
"wea_chitchat_hot_then_current_007","weather","turn 2","顺便看看现在天气。","—","—","—"
"wea_single_shenzhen_hot_008","weather","turn 1","深圳今天热不热？","1.056","—","—"
